,Random_IDs,Sonata_Section,Feature,Mod_Type,DV,DV2,Education_Level,Years_Theory,Years_Skills,Schemata_Expertise,Excerpt_Familiarity,Excerpt_Analysis,Solfege_Hearing,Schema_Hearing,Perfect_Pitch?,Interpretation_App,Expertise_Group,Expertise_Group_solf,Sonata_Order,Expo_Order,Expo_Bass_Order,Expo_Sop_Order,Expo_Schema_Order,Recap_Order,Recap_Bass_Order,Recap_Sop_Order,Recap_Schema_Order,Familiarity_Cat,Familiarity_Numeric,Expertise_Numeric,Analysis_Numeric
80,913,Exposition,Schema,Romanesca,4.3,4.2,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
81,913,Exposition,Schema,Prinner,6.3,4.2,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
82,834,Exposition,Schema,Romanesca,5.0,5.0,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
83,834,Exposition,Schema,Prinner,6.6,5.0,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
84,719,Exposition,Schema,Romanesca,6.8,6.9,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
85,719,Exposition,Schema,Prinner,6.9,6.9,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
86,862,Exposition,Schema,Romanesca,6.2,4.9,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
87,862,Exposition,Schema,Prinner,7.0,4.9,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
88,686,Exposition,Schema,Romanesca,6.7,7.0,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
89,686,Exposition,Schema,Prinner,6.7,7.0,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
92,998,Exposition,Schema,Romanesca,2.0,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
93,998,Exposition,Schema,Prinner,4.0,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
94,473,Exposition,Schema,Romanesca,6.0,1.3,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
95,473,Exposition,Schema,Prinner,1.2,1.3,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
96,895,Exposition,Schema,Romanesca,1.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
97,895,Exposition,Schema,Prinner,1.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
98,326,Exposition,Schema,Romanesca,7.0,6.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
99,326,Exposition,Schema,Prinner,6.1,6.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
100,381,Exposition,Schema,Romanesca,1.0,1.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
101,381,Exposition,Schema,Prinner,4.6,1.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
102,268,Exposition,Schema,Romanesca,3.5,5.0,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
103,268,Exposition,Schema,Prinner,5.6,5.0,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
104,883,Exposition,Schema,Romanesca,5.0,4.2,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
105,883,Exposition,Schema,Prinner,7.0,4.2,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
106,475,Exposition,Schema,Romanesca,1.0,1.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
107,475,Exposition,Schema,Prinner,7.0,1.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
108,392,Exposition,Schema,Romanesca,4.4,6.2,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
109,392,Exposition,Schema,Prinner,7.0,6.2,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
110,244,Exposition,Schema,Romanesca,3.0,5.1,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
111,244,Exposition,Schema,Prinner,7.0,5.1,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
112,148,Exposition,Schema,Romanesca,7.0,4.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
113,148,Exposition,Schema,Prinner,4.0,4.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
114,701,Exposition,Schema,Romanesca,1.1,1.0,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
115,701,Exposition,Schema,Prinner,7.0,1.0,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
116,540,Exposition,Schema,Romanesca,4.0,4.5,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
117,540,Exposition,Schema,Prinner,7.0,4.5,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
118,495,Exposition,Schema,Romanesca,4.0,3.5,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
119,495,Exposition,Schema,Prinner,5.5,3.5,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
120,913,Recapitulation,Bass,Romanesca,4.1,4.2,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
121,913,Recapitulation,Bass,Prinner,7.0,4.2,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
122,834,Recapitulation,Bass,Romanesca,5.5,4.7,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
123,834,Recapitulation,Bass,Prinner,5.2,4.7,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
124,719,Recapitulation,Bass,Romanesca,5.7,6.8,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
125,719,Recapitulation,Bass,Prinner,6.4,6.8,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
126,862,Recapitulation,Bass,Romanesca,5.0,5.0,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
127,862,Recapitulation,Bass,Prinner,7.0,5.0,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
128,686,Recapitulation,Bass,Romanesca,7.0,6.2,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
129,686,Recapitulation,Bass,Prinner,5.6,6.2,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
132,998,Recapitulation,Bass,Romanesca,5.1,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
133,998,Recapitulation,Bass,Prinner,3.0,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
134,473,Recapitulation,Bass,Romanesca,7.0,1.2,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
135,473,Recapitulation,Bass,Prinner,2.5,1.2,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
136,895,Recapitulation,Bass,Romanesca,6.0,3.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
137,895,Recapitulation,Bass,Prinner,6.0,3.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
138,326,Recapitulation,Bass,Romanesca,6.0,5.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
139,326,Recapitulation,Bass,Prinner,5.0,5.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
140,381,Recapitulation,Bass,Romanesca,7.0,2.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
141,381,Recapitulation,Bass,Prinner,4.3,2.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
142,268,Recapitulation,Bass,Romanesca,6.5,4.6,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
143,268,Recapitulation,Bass,Prinner,2.4,4.6,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
144,883,Recapitulation,Bass,Romanesca,6.2,3.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
145,883,Recapitulation,Bass,Prinner,3.7,3.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
146,475,Recapitulation,Bass,Romanesca,7.0,5.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
147,475,Recapitulation,Bass,Prinner,7.0,5.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
148,392,Recapitulation,Bass,Romanesca,5.1,3.3,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
149,392,Recapitulation,Bass,Prinner,3.1,3.3,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
150,244,Recapitulation,Bass,Romanesca,3.0,2.8,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
151,244,Recapitulation,Bass,Prinner,7.0,2.8,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
152,148,Recapitulation,Bass,Romanesca,7.0,7.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
153,148,Recapitulation,Bass,Prinner,7.0,7.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
154,701,Recapitulation,Bass,Romanesca,5.2,3.1,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
155,701,Recapitulation,Bass,Prinner,7.0,3.1,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
156,540,Recapitulation,Bass,Romanesca,7.0,6.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
157,540,Recapitulation,Bass,Prinner,7.0,6.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
158,495,Recapitulation,Bass,Romanesca,6.0,6.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
159,495,Recapitulation,Bass,Prinner,5.0,6.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
160,913,Recapitulation,Soprano,Romanesca,1.0,1.0,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
